A 1952 episode of “I Love Lucy was titled “Lucy Is Enceinte” because what English word was censored?,PREGNANT
Lipase is a digestive enzyme used by the body to break down what food component?,FAT
"Featured on light bulb packages,what unit of measure is defined as the amount of light emitted by one candle?",LUMEN
"In a nod to one of Facebook’s most iconic features, a couple in 2011 gave their newborn daughter what first name?",SUBCOASTAL
"One of “The Real Housewives Of Beverly Hills,” Camille Grammer is the ex-wife of the star of what TV sitcom?",FRASIER
Someone who “views the world though rose-colored glasses” is unusually what?,OPTIMISTIC
"In advertisements,what cosmetics brand promotes itself as “Easy,breezy,beautiful”?",COVERGIRL
Sapparo is a major city of what Asian country?,JAPAN
"Originally,a “pound cake” recipe called for a pound of butter plus a pound of all but which of the following?",SALT
"Reflecting on a subject he masters, Garry Kasperov’s 2007 book is titled “How Life Imitates” what?",CHESS
"In addition to English,which of the following is an official language of Canada?",FRENCH
"Shakespeare’s “Romeo and Juliet” is set primarily in Verona,a city in what country?",ITALY
"Said to belong to Saint Peter, Vatican City’s official flag depicts two crossed what?",KEYS
"An alternate to Equal or Sweet’N Low,Splenda is a sugar substitute that comes in what color packets?",YELLOW
"In a famous ad campaign in the ’80s,what branch of the military wanted you to “be all you can be”?",ARMY
"A popular maker of parenting accessories, the Babybjorn company is headquartered in what country?",SWEDEN
"A secret menu item at Fatburger restaurants,the “Hypocrite” is a veggie burger topped with what fixing?",BACON
A liger is an animal that results from the crossbreeding of a tiger and a what?,LION
"Immortalized by The Beatles, Abbey Road is a famous street in what European city?",LONDON
"According to a key song from “The Sound of Music,” what musical note is “a long, long way to run”?",FAT
"According to an old saying,a secretive person plays his or her cards “close to the” what?",VEST
"According to a data-based book called “The Top Ten,” which Shakespeare play is one of the ten best books of all-time?",HAMLET
"A popular New England appetizer, clams casino combines clams with breadcrumbs and what meat?",BACON
"In 1872,Susan B.Anthony was arrested in Rochester,New York,for illegally doing what?",VOTING
"A smaller,more intricate version of the popular fabric pattern houndstooth is fittingly known as what?",PUPPYTOOTH
"A dangerous type of what bug gets its name from the port town of Taranto, Italy?",SPIDER
A rupture in the tympanic membrane usually has a negative effect on which of the senses?,HEARING
"If you rearrange the letters in Meg Ryan’s name,you can form the name of a European country that has what capital?",BERLIN
"Resulting in a “pruney” look,fingertips get wrinkly after water has washed away what oily substance?",SEBUM
"Riffing on Scorsese,the 90’s cartoon “Animaniacs” featured the “Goodfeathers,” three pigeons who were also what?",GANGSTERS
"The annual World Ice Art Championship in Fairbanks,Alaska is primarily a competition in what artistic discipline?",SCULPTING
The addictive jingle “I want my baby back” refers to what Chilli’s Grill & Bar dish?,RIBS
"A bit of folk wisdom warns that when you point a finger at someone, how many fingers are pointing back at you?",THREE
A phillumenist is a collector of what?,MATCHBOOKS
"Sampling the soul classic “Try a Little Tenderness,” a 2011 song by rappers Jay-Z and Kanye West is named what?",OTIS
"Still popular today,C.M. Coolidge’s famous paintings of dogs playing poker were originally advertisements for what?",CIGARS
"In 2011,Seth Rogen and Ryan Reynolds both played movie superheroes with what colorful word in their name?",GREEN
"Regardless of his name, a man without any clothes is cheekily said to be going “the full” what?",MONTY
"The city’s tallest building until 2007,One Liberty Place is a 61-story skyscraper located where?",PHILADELPHIA
The classic song “Chattanooga Choo Choo” immortalized a train station located in what Southern state?,TENNESSEE
A cowcatcher is a metal grill that is commonly found on the front of what type of vehicle?,TRAIN
"A common ingredient in ice cream and toothpaste, carrageenan is an extract of what?",SEAWEED
"Seen in many still life paintings,a ewer is a decorative type of what household object?",PITCHER
"According to legend, Swiss folk hero William Tell was an expert with what medieval weapon?",CROSSBOW
"In a well-known scence from “Pretty Woman,” Julia Roberts’ character struggles with eating what delicacy?",ESCARGOT
"Referring to the plastic it’s made from, recyclable water bottles often feature what acronym?",PETE
"Originally used by American Indians,the term “pow-wow” is now mainly used to refer to a what?",MEETING
Scholars and intellectuals are commonly said to reside in a tower made of what material?,IVORY
"Said to have been ruled by Zeus,Mount Olympus is the highest mountain range in what country?",GREECE
"Represented by a set of scales,what sign of the zodiac is derived from the Latin word for “pound”?",LIBRA
The song “Do-Re-Mi” in “The Sound of Music” teaches us that all but which of the following are music syllables?,LO
"In 2010, TV personality Jo Frost announced her retirement from what popular reality show?",SUPERNANNY
Boston’s Ted Williams tunnel is named in honor of a legendary player in what sport?,BASEBALL
"On the human body, the intercostal muscles are located where?",RIBS
The 2002 music video for The White Stripes’ “Fell in Love With a Girl” solely features what toys?,LEGOS
"Famous in her own right, handbag designer Kate Spade has a famous brother-in-law named David, who is a what?",COMIC
"Dolittle,Strangelove and Zhivago are surnames of classic movie characters who share what distinguished title?",DOCTOR
Basra is the chief port of which Persian Gulf country?,IRAQ
A person who orders “bifteck” in a French restaurant expects to see what on his plate?,STEAK
A crowd of people are running away from a bull on the cover of the 2008 Fodor’s guide to what country?,SPAIN
"Requiring considerable skill and experience,”throwing” is a technique used in what artistic medium?",POTTERY
"According to a nerdy joke about chemical symbols, a female is made up of a male plus what element?",IRON
The popular drink known as an “Arnold Palmer” is typically made with equal parts iced tea and what?,LEMONADE
"The Obama administration often points out that Warren Buffet pays a lower tax rate than Debbie Bosanek,his what?",SECRETARY
"A popular ingredient in cookies, hazelnuts are also known as what?",BUCKEYES
"In 2010,what word did Gawker coin for a star getting a “career bump without actually being an addict”?",PREHAB
The largest population of manatees in the U.S. lives primarily in the coastal waters of what state?,FLORIDA
"According to a classic tune from “Porgy and Bess,” “the living is easy” during what time?",SUMMERTIME
The monthly magazine “Cuesport” is primarily targeted toward enthusiasts of what game?,POOL
"In 1948, a Chicago paper ran the famously incorrect headline “Dewey Defeats Truman” on the third of what month?",NOVEMBER
"Robert Kardasian, the biological father of Kourtney, Kim, Khloe, and Robert Jr, was a well-known what?",ATTORNEY
"In 1928, anthropologist Margaret Mead published her landmark study titled “Coming of Age in” what country?",SAMOA
"A familiar face in fragrance ads,Argentine Ignacio “Nacho” Figueras is a top-ranking athlete in what sport?",POLO
"Because of their unique shape, TiVo remote controls are often playfully referred to as what?",PEANUTS
"In 2010, the Pentagon estimated that which poor nation is home to $1 trillion in untapped precious minerals?",AFGHANISTAN
"A popular four-digit passcode on the iPhone is 5683,which turns out to be the keyboard representation of what word?",LOVE
Regular brushing and flossing of the teeth are recommended measures for preventing what?,GINGIVITIS
"According to an old expression, “Great oaks grow from little” what?",ACORNS
"A rival to Amazon’s Kindle,what is the name of the e-book reader sold by Barnes & Noble?",NOOK
President Barack Obama was born during whose presidential administration?,LBJ
A 1985 North Atlantic expedition led by Robert Ballard discovered the wreck of what famous ship 73 years after it sank?,TITANIC
The letter “S” is directly printed on individual pieces of what brand of candy?,SKITTLES
"Believed by the ancient Greeks to be a sacred or holy bone,the sacrum is located in what part of the human body?",PELVIS
"Born in New York,the legendary outlaw William H. Bonney,Jr. was better known as “Billy the” what?",KID
An “estate tax” is typically levied by the government after what life event?,DEATH
"A false urban myth claims that a combination of pop rocks and soda proved fatal for “Mikey,” the boy in what cereal’s ’70s ads?",LIFE
"In 1979,a Florida restaurateur founded the Boca brand,starting with a line of meatless what?",BURGERS
"Sanskrit for “moon craft,” the Chandraayan I was the first lunar orbiter ever launched by what country?",INDIA
"A substance,such as rubber,that conducts electricity very poorly is called a what?",INSULATOR
"An important characteristic of motor oil,viscosity is the ability of a liquid to resist what?",FLOWING
The logo of the Shell oil company is a stylized image of what kind of shell?,SCALLOP
"Fittingly,the online retailer Zappos adapted its name from “zapatos,” the Spanish word for what?",SHOES
Historian Edward Gibbon is best known for his six-volume account of the “Decline and Fall” od what empire?,ROMAN
Piscivorous animals feed mainly on what?,FISH
"By definition, what does a gamekeeper keep?",ANIMALS
"As its name suggests,what two letters are prominently displayed in Dos Equis beer logo?",XX
"DHMO.org is a tongue-in-cheek website that exposes the dangers of dihydrogen monoxide,better known as what?",WATER
The 2010 “Under the Boardwalk” documentary tracks the evolution and popularity of which classic board game?,MONOPOLY
"A popular myth suggests that you’ll be less tasty to mosquitoes if you take vitamin B1,which is also known as what?",THIAMINE
"Honolulu,the capital city of Hawaii,is located on which of its islands?",OAHU
Echolocation is a scientific process that determines the location of objects by using what?,SOUND
"Helping people cope with the current economy,The Recessionista blog primarily covers what area of interest?",FASHION
The magazine “Decanter” promotes itself as the “bible” for collectors and connoisseurs of what?,WINE
"Haskell Opera House has its stage in Quebec, Canada, while most of its audience members sit in what state?",VERMONT
Contestants on the reality show “Scream Queens” compete for a role in a movie that is part of what film franchise?,SAW
The popular burrito chain Chipotle is named after a type of what?,PEPPER
"If Blue from “Blue’s Clues” and Clifford the Big Red Dog had a puppy,what color would it most likely be?",PURPLE
